id,series,bf,green,red,split
Set_1_Cam_AO_PI_19_02_16__1,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/1.0.jpg,Set_1_Cam_AO_PI_19_02_16/1.1.jpg,Set_1_Cam_AO_PI_19_02_16/1.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__2,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/2.0.jpg,Set_1_Cam_AO_PI_19_02_16/2.1.jpg,Set_1_Cam_AO_PI_19_02_16/2.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__3,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/3.0.jpg,Set_1_Cam_AO_PI_19_02_16/3.1.jpg,Set_1_Cam_AO_PI_19_02_16/3.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__4,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/4.0.jpg,Set_1_Cam_AO_PI_19_02_16/4.1.jpg,Set_1_Cam_AO_PI_19_02_16/4.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__5,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/5.0.jpg,Set_1_Cam_AO_PI_19_02_16/5.1.jpg,Set_1_Cam_AO_PI_19_02_16/5.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__6,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/6.0.jpg,Set_1_Cam_AO_PI_19_02_16/6.1.jpg,Set_1_Cam_AO_PI_19_02_16/6.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__7,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/7.0.jpg,Set_1_Cam_AO_PI_19_02_16/7.1.jpg,Set_1_Cam_AO_PI_19_02_16/7.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__8,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/8.0.jpg,Set_1_Cam_AO_PI_19_02_16/8.2.jpg,Set_1_Cam_AO_PI_19_02_16/8.1.jpg,test
Set_1_Cam_AO_PI_19_02_16__9,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/9.0.jpg,Set_1_Cam_AO_PI_19_02_16/9.1.jpg,Set_1_Cam_AO_PI_19_02_16/9.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__10,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/10.0.jpg,Set_1_Cam_AO_PI_19_02_16/10.1.jpg,Set_1_Cam_AO_PI_19_02_16/10.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__11,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/11.0.jpg,Set_1_Cam_AO_PI_19_02_16/11.1.jpg,Set_1_Cam_AO_PI_19_02_16/11.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__12,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/12.0.jpg,Set_1_Cam_AO_PI_19_02_16/12.1.jpg,Set_1_Cam_AO_PI_19_02_16/12.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__13,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/13.0.jpg,Set_1_Cam_AO_PI_19_02_16/13.1.jpg,Set_1_Cam_AO_PI_19_02_16/13.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__14,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/14.0.jpg,Set_1_Cam_AO_PI_19_02_16/14.1.jpg,Set_1_Cam_AO_PI_19_02_16/14.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__15,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/15.0.jpg,Set_1_Cam_AO_PI_19_02_16/15.1.jpg,Set_1_Cam_AO_PI_19_02_16/15.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__16,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/16.0.jpg,Set_1_Cam_AO_PI_19_02_16/16.1.jpg,Set_1_Cam_AO_PI_19_02_16/16.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__17,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/17.0.jpg,Set_1_Cam_AO_PI_19_02_16/17.1.jpg,Set_1_Cam_AO_PI_19_02_16/17.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__18,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/18.0.jpg,Set_1_Cam_AO_PI_19_02_16/18.1.jpg,Set_1_Cam_AO_PI_19_02_16/18.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__19,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/19.0.jpg,Set_1_Cam_AO_PI_19_02_16/19.2.jpg,Set_1_Cam_AO_PI_19_02_16/19.1.jpg,test
Set_1_Cam_AO_PI_19_02_16__20,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/20.0.jpg,Set_1_Cam_AO_PI_19_02_16/20.1.jpg,Set_1_Cam_AO_PI_19_02_16/20.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__21,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/21.0.jpg,Set_1_Cam_AO_PI_19_02_16/21.1.jpg,Set_1_Cam_AO_PI_19_02_16/21.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__22,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/22.0.jpg,Set_1_Cam_AO_PI_19_02_16/22.1.jpg,Set_1_Cam_AO_PI_19_02_16/22.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__23,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/23.0.jpg,Set_1_Cam_AO_PI_19_02_16/23.1.jpg,Set_1_Cam_AO_PI_19_02_16/23.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__24,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/24.0.jpg,Set_1_Cam_AO_PI_19_02_16/24.1.jpg,Set_1_Cam_AO_PI_19_02_16/24.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__25,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/25.0.jpg,Set_1_Cam_AO_PI_19_02_16/25.1.jpg,Set_1_Cam_AO_PI_19_02_16/25.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__26,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/26.0.jpg,Set_1_Cam_AO_PI_19_02_16/26.1.jpg,Set_1_Cam_AO_PI_19_02_16/26.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__27,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/27.0.jpg,Set_1_Cam_AO_PI_19_02_16/27.1.jpg,Set_1_Cam_AO_PI_19_02_16/27.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__28,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/28.0.jpg,Set_1_Cam_AO_PI_19_02_16/28.1.jpg,Set_1_Cam_AO_PI_19_02_16/28.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__29,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/29.0.jpg,Set_1_Cam_AO_PI_19_02_16/29.1.jpg,Set_1_Cam_AO_PI_19_02_16/29.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__30,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/30.0.jpg,Set_1_Cam_AO_PI_19_02_16/30.1.jpg,Set_1_Cam_AO_PI_19_02_16/30.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__31,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/31.0.jpg,Set_1_Cam_AO_PI_19_02_16/31.2.jpg,Set_1_Cam_AO_PI_19_02_16/31.1.jpg,test
Set_1_Cam_AO_PI_19_02_16__32,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/32.0.jpg,Set_1_Cam_AO_PI_19_02_16/32.2.jpg,Set_1_Cam_AO_PI_19_02_16/32.1.jpg,test
Set_1_Cam_AO_PI_19_02_16__33,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/33.0.jpg,Set_1_Cam_AO_PI_19_02_16/33.1.jpg,Set_1_Cam_AO_PI_19_02_16/33.2.jpg,test
Set_1_Cam_AO_PI_19_02_16__34,Set_1_Cam_AO_PI_19_02_16,Set_1_Cam_AO_PI_19_02_16/34.0.jpg,Set_1_Cam_AO_PI_19_02_16/34.1.jpg,Set_1_Cam_AO_PI_19_02_16/34.2.jpg,test
Set_1_Ctrl_AO_PI_19_02_16__1,Set_1_Ctrl_AO_PI_19_02_16,Set_1_Ctrl_AO_PI_19_02_16/1.0.jpg,Set_1_Ctrl_AO_PI_19_02_16/1.1.jpg,Set_1_Ctrl_AO_PI_19_02_16/1.2.jpg,train
Set_1_Ctrl_AO_PI_19_02_16__2,Set_1_Ctrl_AO_PI_19_02_16,Set_1_Ctrl_AO_PI_19_02_16/2.0.jpg,Set_1_Ctrl_AO_PI_19_02_16/2.1.jpg,Set_1_Ctrl_AO_PI_19_02_16/2.2.jpg,train
Set_1_Ctrl_AO_PI_19_02_16__3,Set_1_Ctrl_AO_PI_19_02_16,Set_1_Ctrl_AO_PI_19_02_16/3.0.jpg,Set_1_Ctrl_AO_PI_19_02_16/3.1.jpg,Set_1_Ctrl_AO_PI_19_02_16/3.2.jpg,train
