plate,well,compound,dose,score
1,compound-001_1_AA15,EMPTY_control,,0.6625614166259766
1,compound-001_1_AA16,Metergoline,0.1,0.9837249517440796
1,compound-001_1_AA18,CRISPR_control,,0.5197824835777283
1,compound-001_1_AA20,Thiazovivin,0.25,0.9170023202896118
1,compound-001_1_AA25,CRISPR_control,,0.8730442523956299
1,compound-001_1_AA35,Lumiracoxib,0.25,0.47817644476890564
1,compound-001_1_AA38,EMPTY_control,,0.621730625629425
1,compound-001_1_AA41,CRISPR_control,,0.5695597529411316
1,compound-001_1_AA42,todralazine,0.025,0.9093155860900879
1,compound-001_1_AA43,EMPTY_control,,0.7047781944274902
1,compound-001_1_AA44,Peficitinb,2.5,0.6876099109649658
1,compound-001_1_AA47,Metergoline,2.5,0.7493095397949219
1,compound-001_1_AB08,Esomeprazole,0.25,0.5157992243766785
1,compound-001_1_AB14,hydroxyamphetamine,10.0,0.5908013582229614
1,compound-001_1_AB17,EMPTY_control,,1.0233056545257568
1,compound-001_1_AB22,CRISPR_control,,0.5593492388725281
1,compound-001_1_AB26,GSK429286A,2.5,0.6753549575805664
1,compound-001_1_AB46,CRISPR_control,,0.7327772974967957
1,compound-001_1_AB47,CRISPR_control,,0.527407169342041
1,compound-001_1_AC10,PD0325901,0.25,1.0432686805725098
1,compound-001_1_AC15,CRISPR_control,,0.8089166879653931
1,compound-001_1_AC27,CRISPR_control,,0.5954703688621521
1,compound-001_1_AC28,ambenonium,1.0,0.5187572240829468
1,compound-001_1_AC30,CRISPR_control,,0.5715352892875671
1,compound-001_1_AC36,CRISPR_control,,1.0042681694030762
1,compound-001_1_AC38,CRISPR_control,,0.41137540340423584
1,compound-001_1_AC39,EMPTY_control,,0.641036331653595
1,compound-001_1_AC47,CRISPR_control,,0.7509588003158569
1,compound-001_1_AD03,CRISPR_control,,0.5275903344154358
1,compound-001_1_AD05,EMPTY_control,,1.3094841241836548
1,compound-001_1_AD11,todralazine,10.0,0.6277063488960266
1,compound-001_1_AD25,EMPTY_control,,0.7670673131942749
1,compound-001_1_AD26,CRISPR_control,,0.56101393699646
1,compound-001_1_AD41,CRISPR_control,,0.46733707189559937
1,compound-001_1_AD42,Lumiracoxib,2.5,0.5710989832878113
1,compound-001_1_AD43,Peficitinb,0.25,0.7993359565734863
1,compound-001_1_AD45,GDC-0994,0.25,0.5080968737602234
1,compound-001_1_AE07,CRISPR_control,,0.5469477772712708
1,compound-001_1_AE10,CRISPR_control,,0.7058899998664856
1,compound-001_1_AE14,CRISPR_control,,0.47687697410583496
1,compound-001_1_AE19,CRISPR_control,,0.4958703815937042
1,compound-001_1_AE20,todralazine,2.5,0.627048671245575
1,compound-001_1_AE33,Metergoline,0.0025,0.6252288818359375
1,compound-001_1_AE34,EMPTY_control,,0.6040585041046143
1,compound-001_1_AE39,CRISPR_control,,0.5446541905403137
1,compound-001_1_AE44,hydroxyamphetamine,2.5,0.5196688771247864
1,compound-001_1_AE46,CRISPR_control,,1.0288214683532715
1,compound-001_1_B08,EMPTY_control,,0.6910771727561951
1,compound-001_1_B09,EMPTY_control,,0.6789588928222656
1,compound-001_1_B10,CRISPR_control,,0.53463214635849
1,compound-001_1_B13,BI 2536,2.5,0.8967429995536804
1,compound-001_1_B15,KPT-185,0.25,1.1342695951461792
1,compound-001_1_B16,beta-CCB,0.0025,0.634333610534668
1,compound-001_1_B25,EMPTY_control,,0.4898033142089844
1,compound-001_1_B33,CRISPR_control,,0.7146026492118835
1,compound-001_1_B35,(+)-cloprostenol,0.025,0.5654088854789734
1,compound-001_1_B36,CRISPR_control,,0.5578067898750305
1,compound-001_1_C09,EMPTY_control,,0.8738405108451843
1,compound-001_1_C13,BI 2536,0.25,1.725488305091858
1,compound-001_1_C14,EMPTY_control,,0.6347866654396057
1,compound-001_1_C16,CRISPR_control,,0.4853302538394928
1,compound-001_1_C19,CRISPR_control,,0.8526402115821838
1,compound-001_1_C22,CRISPR_control,,0.6262629628181458
1,compound-001_1_C24,Trazodone,2.5,0.5227534770965576
1,compound-001_1_C25,CRISPR_control,,0.5139490365982056
1,compound-001_1_C29,KPT-185,2.5,1.0038607120513916
1,compound-001_1_C37,CRISPR_control,,0.5073336362838745
1,compound-001_1_C40,CRISPR_control,,0.5010093450546265
1,compound-001_1_C45,EMPTY_control,,0.6618922352790833
1,compound-001_1_C47,CRISPR_control,,0.6673880815505981
1,compound-001_1_D06,CRISPR_control,,0.6085028648376465
1,compound-001_1_D09,hydroxyamphetamine,0.25,0.6040034890174866
1,compound-001_1_D18,EMPTY_control,,0.5533998608589172
1,compound-001_1_D28,CRISPR_control,,0.5436951518058777
1,compound-001_1_D31,beta-CCB,0.01,0.5806218981742859
1,compound-001_1_D34,CRISPR_control,,0.4941208064556122
1,compound-001_1_D37,EMPTY_control,,0.908719003200531
1,compound-001_1_D40,EMPTY_control,,0.8222679495811462
1,compound-001_1_E05,CRISPR_control,,1.1289151906967163
1,compound-001_1_E17,CRISPR_control,,0.6313048601150513
1,compound-001_1_E25,methylnaltrexone,0.25,0.896652102470398
1,compound-001_1_E32,EMPTY_control,,0.8554367423057556
1,compound-001_1_E35,EMPTY_control,,0.8170801997184753
1,compound-001_1_E39,methylnaltrexone,0.01,1.0867310762405396
1,compound-001_1_E41,CEP-18770,0.25,2.7828612327575684
1,compound-001_1_F04,EMPTY_control,,1.2065033912658691
1,compound-001_1_F15,MI-773,2.5,0.8023543357849121
1,compound-001_1_F17,CRISPR_control,,1.0597929954528809
1,compound-001_1_F19,CRISPR_control,,1.009214162826538
1,compound-001_1_F21,CRISPR_control,,0.9195663332939148
1,compound-001_1_G02,EMPTY_control,,1.2517447471618652
1,compound-001_1_G08,Metergoline,1.0,0.5403077006340027
1,compound-001_1_G14,Flavopiridol,2.5,3.052696943283081
1,compound-001_1_G17,CRISPR_control,,1.2545123100280762
1,compound-001_1_G19,Rufinamide,0.25,0.8444312214851379
1,compound-001_1_G24,hydroxyamphetamine,0.1,0.7603123784065247
1,compound-001_1_G26,CRISPR_control,,0.5467672944068909
1,compound-001_1_G36,LY2228820,2.5,1.2944002151489258
1,compound-001_1_G38,EMPTY_control,,0.9769973754882812
1,compound-001_1_G42,CRISPR_control,,0.7822364568710327
1,compound-001_1_H10,MLN2238,0.25,2.0884718894958496
1,compound-001_1_H11,CRISPR_control,,0.6871617436408997
1,compound-001_1_H13,ambenonium,0.01,0.5147140026092529
1,compound-001_1_H15,hydroxyamphetamine,0.0025,0.9876006245613098
1,compound-001_1_H16,BIIB021,2.5,0.7898682951927185
1,compound-001_1_H17,Metergoline,10.0,1.2837752103805542
1,compound-001_1_H19,CRISPR_control,,0.675509512424469
1,compound-001_1_H23,CRISPR_control,,0.8728246092796326
1,compound-001_1_H25,AZM475271,0.25,0.5405312776565552
1,compound-001_1_H30,methylnaltrexone,1.0,0.9546487927436829
1,compound-001_1_H34,CRISPR_control,,1.0949101448059082
1,compound-001_1_H42,CRISPR_control,,0.7242229580879211
1,compound-001_1_H45,CRISPR_control,,0.8279315233230591
1,compound-001_1_I08,Letrozole,0.25,0.6821835041046143
1,compound-001_1_I10,isodibut,0.025,0.5702010989189148
1,compound-001_1_I11,EMPTY_control,,0.5868502855300903
1,compound-001_1_I12,CRISPR_control,,0.4411839544773102
1,compound-001_1_I18,(+)-cloprostenol,2.5,0.9009757041931152
1,compound-001_1_I24,beta-CCB,0.1,0.5608494877815247
1,compound-001_1_I25,CRISPR_control,,0.46728330850601196
1,compound-001_1_J10,EMPTY_control,,0.8012409210205078
1,compound-001_1_J18,CRISPR_control,,1.0022943019866943
1,compound-001_1_J27,CRISPR_control,,0.4744223952293396
1,compound-001_1_J35,CRISPR_control,,0.3794177770614624
1,compound-001_1_J36,EMPTY_control,,1.0262726545333862
1,compound-001_1_J38,CRISPR_control,,0.7597683072090149
1,compound-001_1_J39,CRISPR_control,,0.5441816449165344
1,compound-001_1_J43,CRISPR_control,,0.6292492151260376
1,compound-001_1_J46,CRISPR_control,,0.5355280637741089
1,compound-001_1_K03,CRISPR_control,,0.6140460968017578
1,compound-001_1_K04,CRISPR_control,,0.5533320903778076
1,compound-001_1_K20,6-Mercaptopurine (6-MP),2.5,0.4426836371421814
1,compound-001_1_K21,CRISPR_control,,0.5112828612327576
1,compound-001_1_K22,EMPTY_control,,0.6036167144775391
1,compound-001_1_K26,methylnaltrexone,2.5,0.6965744495391846
1,compound-001_1_K27,EMPTY_control,,0.7872640490531921
1,compound-001_1_K29,LY2228820,0.25,0.7237285375595093
